SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION,Unnamed: 5
pragma enable_verification,PRAGMA,"syntax error at or near ""pragma""
LINE 1: pragma enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA enable_verification,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA enable_verification,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA enable_verification,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA explain_output = OPTIMIZED_ONLY,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA explain_output = OPTIMIZED_ONLY
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA enable_verification,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
select * from A join B using(X);,QUOTE,"column ""x"" specified in USING clause does not exist in left table
",False,1	2	3,postgresql,Function,QUOTE,Quote in Postgresql <> DuckDB,,
SELECT * FROM a NATURAL JOIN b NATURAL JOIN c NATURAL JOIN d NATURAL JOIN e,QUOTE,Result MisMatch,1	2	3	1	4	1	5	1	6,1	2	3	4	5	6,postgresql,Function,QUOTE,Quote in Postgresql <> DuckDB,,
SELECT list_unique([]) WHERE 1 = 0,NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT list_unique([]) WHERE 1 = 0
                           ^
",False,,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT list_contains([1.0,2.0,3.0], 'a')",NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT list_contains([1.0,2.0,3.0], 'a')
                             ^
",False,0,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"select map_keys(MAP([],[]));",NESTDATA,"syntax error at or near ""[""
LINE 1: select map_keys(MAP([],[]));
                            ^
",False,[],postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
SELECT a.* FROM test;,NESTDATA,"relation ""test"" does not exist
LINE 1: SELECT a.* FROM test;
                        ^
",False,1	2,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
SELECT * FROM a WHERE id=1,NESTDATA,Result MisMatch,,"1	[1, 2, 3]",postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT [{'x': 'duck', 'y': 1}] IS NOT DISTINCT FROM [{'x': 'duck', 'y': 1}]",NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT [{'x': 'duck', 'y': 1}] IS NOT DISTINCT FROM [{'x': '...
               ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"CREATE VIEW struct_nested AS SELECT * FROM (VALUES 	({'x': 1, 'y': {'a': 'duck', 'b': 1.5}}, {'x': 1, 'y': {'a': 'duck', 'b': 1.5}}), 	({'x': 1, 'y': {'a': 'duck', 'b': 1.5}}, {'x': 2, 'y': {'a': 'goose', 'b': 2.5}}), 	({'x': 2, 'y': {'a': 'goose', 'b': 2.5}}, {'x': 1, 'y': {'a': 'duck', 'b': 1.5}}), 	(NULL, {'x': 1, 'y': {'a': 'duck', 'b': 1.5}}), 	({'x': 2, 'y': {'a': 'goose', 'b': 2.5}}, NULL), 	(NULL, NULL) 	) tbl(l, r)",NESTDATA,"syntax error at or near ""{""
LINE 1: ...ATE VIEW struct_nested AS SELECT * FROM (VALUES  ({'x': 1, '...
                                                             ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"insert into lists values (1, [1, 2, 3]), (2, [4, 5]), (3, [NULL])",NESTDATA,"syntax error at or near ""[""
LINE 1: insert into lists values (1, [1, 2, 3]), (2, [4, 5]), (3, [N...
                                     ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
SELECT NULL IS NOT DISTINCT FROM ['duck'],NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT NULL IS NOT DISTINCT FROM ['duck']
                                         ^
",False,False,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT id, b[1] FROM a ORDER BY id",NESTDATA,Result MisMatch,,"0	[1, 2]
1	NULL
2	[4, 5, 6, 7]",postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
SELECT * FROM a ORDER BY id,NESTDATA,Result MisMatch,,"0	[[1, 2], NULL, [3, NULL]]
1	[[NULL], NULL, [NULL]]
2	NULL",postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"INSERT INTO tbl VALUES([[2],[3],[4]], ['a', 'b', 'c'])",NESTDATA,"syntax error at or near ""[""
LINE 1: INSERT INTO tbl VALUES([[2],[3],[4]], ['a', 'b', 'c'])
                               ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"EXECUTE v17([], 1)",NESTDATA,"syntax error at or near ""[""
LINE 1: EXECUTE v17([], 1)
                    ^
",False,False,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT ['duck'] <> ['duck', 'goose']",NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT ['duck'] <> ['duck', 'goose']
               ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
CREATE TABLE test AS SELECT {'t': 42} t,NESTDATA,"syntax error at or near ""{""
LINE 1: CREATE TABLE test AS SELECT {'t': 42} t
                                    ^
",False,True,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
SELECT u.c FROM tbl1 WHERE u.c IS NOT NULL,NESTDATA,"relation ""tbl1"" does not exist
LINE 1: SELECT u.c FROM tbl1 WHERE u.c IS NOT NULL
                        ^
",False,text,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT '[12,13,14]'::INT[];",NESTDATA,"malformed array literal: ""[12,13,14]""
LINE 1: SELECT '[12,13,14]'::INT[];
               ^
DETAIL:  Missing ""]"" after array dimensions.
",False,"[12, 13, 14]",postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"EXECUTE v3([1, 2, 3])",NESTDATA,"syntax error at or near ""[""
LINE 1: EXECUTE v3([1, 2, 3])
                   ^
",False,3,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT [{'x': 'duck', 'y': 1}] <> [{'x': 'duck', 'y': 1}]",NESTDATA,"syntax error at or near ""[""
LINE 1: SELECT [{'x': 'duck', 'y': 1}] <> [{'x': 'duck', 'y': 1}]
               ^
",False,False,postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),,
"SELECT MAX(i1.i), MIN(i2.i) FROM integers i1, integers i2",NESTF,"relation ""integers"" does not exist
LINE 1: SELECT MAX(i1.i), MIN(i2.i) FROM integers i1, integers i2
                                         ^
",False,4999	0,postgresql,UFunction,NESTF,NESTED FUNCTION,,
"CREATE TABLE number_str AS (SELECT CAST(range AS VARCHAR) AS x FROM range(0, 100))",NESTF,"function range(integer, integer) does not exist
LINE 1: ...r_str AS (SELECT CAST(range AS VARCHAR) AS x FROM range(0, 1...
                                                             ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,True,postgresql,UFunction,NESTF,NESTED FUNCTION,,
"CREATE TABLE varchars AS SELECT i, concat('thisisalongstring', i) AS v FROM range(1000000) tbl(i);",NESTF,"function range(integer) does not exist
LINE 1: ...ELECT i, concat('thisisalongstring', i) AS v FROM range(1000...
                                                             ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,1000000,postgresql,UFunction,NESTF,NESTED FUNCTION,,
CREATE TABLE integers AS SELECT * FROM range(5) tbl(i),NESTF,"function range(integer) does not exist
LINE 1: CREATE TABLE integers AS SELECT * FROM range(5) tbl(i)
                                               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,True,postgresql,UFunction,NESTF,NESTED FUNCTION,,
SELECT list_approx_count_distinct(a) from list_ints_2;,NESTF,"function list_approx_count_distinct(integer[]) does not exist
LINE 1: SELECT list_approx_count_distinct(a) from list_ints_2;
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,"993
986",postgresql,UFunction,NESTF,NESTED FUNCTION,,
SELECT * FROM vals1 WHERE i>9 AND j<i,NESTF,"relation ""vals1"" does not exist
LINE 1: SELECT * FROM vals1 WHERE i>9 AND j<i
                      ^
",False,10	9,postgresql,UFunction,NESTF,NESTED FUNCTION,,
"SELECT STRUCT_EXTRACT(STRUCT_EXTRACT(STRUCT_PACK(a := STRUCT_PACK(x := 'asdf', y := NULL), b := 43), 'a'), 'x') s",NESTF,"function struct_pack(x => unknown, y => unknown) does not exist
LINE 1: ...CT STRUCT_EXTRACT(STRUCT_EXTRACT(STRUCT_PACK(a := STRUCT_PAC...
                                                             ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,asdf,postgresql,UFunction,NESTF,NESTED FUNCTION,,
"select string_agg(struct_pack(i :=  i, j := i + 2), ',') from range(10) tbl(i);",NESTF,"function range(integer) does not exist
LINE 1: ...g_agg(struct_pack(i :=  i, j := i + 2), ',') from range(10) ...
                                                             ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,"{'i': 0, 'j': 2},{'i': 1, 'j': 3},{'i': 2, 'j': 4},{'i': 3, 'j': 5},{'i': 4, 'j': 6},{'i': 5, 'j': 7},{'i': 6, 'j': 8},{'i': 7, 'j': 9},{'i': 8, 'j': 10},{'i': 9, 'j': 11}",postgresql,UFunction,NESTF,NESTED FUNCTION,,
"SELECT g, LIST(e) l1, LIST(e) l2 from list_data GROUP BY g ORDER BY g",NESTF,"function list(integer) does not exist
LINE 1: SELECT g, LIST(e) l1, LIST(e) l2 from list_data GROUP BY g O...
                  ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,"1	[1, 2]	[1, 2]
2	[3, 4, 5]	[3, 4, 5]
3	[6]	[6]
5	[NULL]	[NULL]",postgresql,UFunction,NESTF,NESTED FUNCTION,,
"SELECT COUNT(*) FROM (SELECT g, STRING_AGG(x,',') FROM strings GROUP BY g) t1",NESTF,"relation ""strings"" does not exist
LINE 1: ...T COUNT(*) FROM (SELECT g, STRING_AGG(x,',') FROM strings GR...
                                                             ^
",False,100,postgresql,UFunction,NESTF,NESTED FUNCTION,,
select test from main.test,NESTF,"relation ""main.test"" does not exist
LINE 1: select test from main.test
                         ^
",False,,postgresql,UFunction,NESTF,NESTED FUNCTION,,
SELECT COLUMNS(x -> x <> 'i') FROM integers,NESTF,"column ""x"" does not exist
LINE 1: SELECT COLUMNS(x -> x <> 'i') FROM integers
                       ^
",False,"84
14",postgresql,UFunction,NESTF,NESTED FUNCTION,,
"SELECT NULL <> {'x': 1, 'y': ['duck', 'somateria']}",NESTF,"syntax error at or near ""{""
LINE 1: SELECT NULL <> {'x': 1, 'y': ['duck', 'somateria']}
                       ^
",False,,postgresql,UFunction,NESTF,NESTED FUNCTION,,
"SELECT i::DECIMAL(18,0)::TINYINT FROM tinyints ORDER BY i",NUM,"relation ""tinyints"" does not exist
LINE 1: SELECT i::DECIMAL(18,0)::TINYINT FROM tinyints ORDER BY i
                                              ^
",False,"-128
0
127",postgresql,Type,NUM,Numeric related type not exists,,
DROP TABLE t,NUM,"table ""t"" does not exist
",False,True,postgresql,Type,NUM,Numeric related type not exists,,
"CREATE VIEW ctenames AS (   WITH RECURSIVE ctename AS (       SELECT empno, ename,              ename AS path       FROM emp       WHERE empno = 7566      UNION ALL       SELECT emp.empno, emp.ename,              ctename.path || ' -> ' || emp.ename       FROM emp          JOIN ctename ON emp.mgr = ctename.empno   )   SELECT * FROM ctename )",NUM,"relation ""emp"" does not exist
LINE 1: ...pno, ename,              ename AS path       FROM emp       ...
                                                             ^
",False,True,postgresql,Type,NUM,Numeric related type not exists,,
SELECT i::BOOL FROM utinyints ORDER BY i,NUM,"relation ""utinyints"" does not exist
LINE 1: SELECT i::BOOL FROM utinyints ORDER BY i
                            ^
",False,"False
True",postgresql,Type,NUM,Numeric related type not exists,,
SELECT cast(TAN(n::float)*1000 as bigint) FROM numbers ORDER BY n,NUM,"relation ""numbers"" does not exist
LINE 1: SELECT cast(TAN(n::float)*1000 as bigint) FROM numbers ORDER...
                                                       ^
",False,"NULL
-2291
-1557
0
1557
2291",postgresql,Type,NUM,Numeric related type not exists,,
"SELECT t_k0, u_k0 FROM   t, u   WHERE t_k0 = u_k0;",NUM,"relation ""t"" does not exist
LINE 1: SELECT t_k0, u_k0 FROM   t, u   WHERE t_k0 = u_k0;
                                 ^
",False,"-128	 -128
127	127",postgresql,Type,NUM,Numeric related type not exists,,
"select bar('-infinity'::double, 0, 10)",NUM,"type ""double"" does not exist
LINE 1: select bar('-infinity'::double, 0, 10)
                                ^
",False,(empty),postgresql,Type,NUM,Numeric related type not exists,,
SELECT (10)::USMALLINT::INTEGER,NUM,"type ""usmallint"" does not exist
LINE 1: SELECT (10)::USMALLINT::INTEGER
                     ^
",False,10,postgresql,Type,NUM,Numeric related type not exists,,
"INSERT INTO rs VALUES (10, 3),(10,-3),(-10,3),(-10,-3),(0,1),(1,1),(NULL,10),(10,NULL),(NULL,NULL)",NUM,"relation ""rs"" does not exist
LINE 1: INSERT INTO rs VALUES (10, 3),(10,-3),(-10,3),(-10,-3),(0,1)...
                    ^
",False,True,postgresql,Type,NUM,Numeric related type not exists,,
"INSERT INTO t0 VALUES(1.0,NULL)",NUM,"current transaction is aborted, commands ignored until end of transaction block
",False,True,postgresql,Type,NUM,Numeric related type not exists,,
SELECT -42::BIGINT::UINTEGER,NUM,"type ""uinteger"" does not exist
LINE 1: SELECT -42::BIGINT::UINTEGER
                            ^
",False,4294967254,postgresql,Type,NUM,Numeric related type not exists,,
"INSERT INTO t0 VALUES(447772980.0,NULL)",NUM,"current transaction is aborted, commands ignored until end of transaction block
",False,True,postgresql,Type,NUM,Numeric related type not exists,,
SELECT DISTINCT * FROM t0 ORDER BY 1,NUM,"relation ""t0"" does not exist
LINE 1: SELECT DISTINCT * FROM t0 ORDER BY 1
                               ^
",False,"NULL
1
2
3",postgresql,Type,NUM,Numeric related type not exists,,
SELECT cast(TAN(n::smallint)*1000 as bigint) FROM numbers ORDER BY n,NUM,"relation ""numbers"" does not exist
LINE 1: SELECT cast(TAN(n::smallint)*1000 as bigint) FROM numbers OR...
                                                          ^
",False,"NULL
-2291
-1557
0
1557
2291",postgresql,Type,NUM,Numeric related type not exists,,
"select round(col1, -1) from test;",NUM,"relation ""test"" does not exist
LINE 1: select round(col1, -1) from test;
                                    ^
",False,0,postgresql,Type,NUM,Numeric related type not exists,,
SELECT subquery(NULL),CREATE,"function subquery(unknown) does not exist
LINE 1: SELECT subquery(NULL)
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,,postgresql,Command,CREATE,CREATE things not supported MACRO,,
explain DEALLOCATE v1,CREATE,"syntax error at or near ""DEALLOCATE""
LINE 1: explain DEALLOCATE v1
                ^
",False,True,postgresql,Command,CREATE,CREATE things not supported MACRO,,
SELECT one(),CREATE,"function one() does not exist
LINE 1: SELECT one()
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,1,postgresql,Command,CREATE,CREATE things not supported MACRO,,
"SELECT IFELSE(1, IFELSE(0,'a','b'), 'c')",CREATE,"function ifelse(integer, unknown, unknown) does not exist
LINE 1: SELECT IFELSE(1, IFELSE(0,'a','b'), 'c')
                         ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,b,postgresql,Command,CREATE,CREATE things not supported MACRO,,
"select name, current_alias from person order by current_alias",CREATE,"relation ""person"" does not exist
LINE 1: select name, current_alias from person order by current_alia...
                                        ^
",False,"Tim	happy
Pedro	ok
Mark	sad
Diego	sad",postgresql,Command,CREATE,CREATE things not supported MACRO,,
"SELECT * FROM repeat_row(1, 2, 'foo', num_rows=3)",MISF,"column ""num_rows"" does not exist
LINE 1: SELECT * FROM repeat_row(1, 2, 'foo', num_rows=3)
                                              ^
",False,"1	2	foo
1	2	foo
1	2	foo",postgresql,UFunction,MISF,Function not listed in documentation,,
"SELECT sql FROM sqlite_master WHERE name = 'tbl' and contains(sql, 'GENERATED');",MISF,"relation ""sqlite_master"" does not exist
LINE 1: SELECT sql FROM sqlite_master WHERE name = 'tbl' and contain...
                        ^
",False,"CREATE TABLE tbl(foo INTEGER, bar INTEGER GENERATED ALWAYS AS(CAST((foo + 1) AS INTEGER)), foobar INTEGER);",postgresql,UFunction,MISF,Function not listed in documentation,,
EXPLAIN SELECT (i=j) OR (i IS NULL AND j IS NULL) FROM test;,EXPLAIN,Result MisMatch,Seq Scan on test  (cost=0.00..35.50 rows=2040 width=1),physical_plan	<REGEX>:.*DISTINCT.*,postgresql,Function,EXPLAIN,query plan difference,,
EXPLAIN SELECT (i=j) OR (i IS NULL AND j IS NULL) FROM test;,EXPLAIN,Result MisMatch,Seq Scan on test  (cost=0.00..35.50 rows=2040 width=1),physical_plan	<REGEX>:.*DISTINCT.*,postgresql,Function,EXPLAIN,query plan difference,,
"EXPLAIN SELECT * FROM (VALUES(5000,5000)) tbl1(i,j), (VALUES(NULL, NULL, 5000, 5000)) tbl2(A, B, k,l) WHERE i>4999 AND k>=j AND j>=i AND l>=k",EXPLAIN,Result MisMatch,Result  (cost=0.00..0.01 rows=1 width=80),logical_opt	<REGEX>:((.*\(col2 > 4999\).*)(.*\(col3 > 4999\).*)|(.*\(col3 > 4999\).*)(.*\(col2 > 4999\).*)),postgresql,Function,EXPLAIN,query plan difference,,
"EXPLAIN SELECT * FROM (VALUES(5000,5000)) tbl1(i,j), (VALUES(NULL, NULL, 5000, 5000)) tbl2(A, B, k,l) WHERE i>4999 AND k>=j AND j>=i AND l>=k",EXPLAIN,Result MisMatch,Result  (cost=0.00..0.01 rows=1 width=80),logical_opt	<REGEX>:((.*\(col2 > 4999\).*)(.*\(col3 > 4999\).*)|(.*\(col3 > 4999\).*)(.*\(col2 > 4999\).*)),postgresql,Function,EXPLAIN,query plan difference,,
"SELECT strptime('Mon 30, December 30, 7:3:5 PM', '%a %d, %B %y, %I:%M:%S %p')",TIMEF,"function strptime(unknown, unknown) does not exist
LINE 1: SELECT strptime('Mon 30, December 30, 7:3:5 PM', '%a %d, %B ...
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,2030-12-30 19:03:05,postgresql,UFunction,TIMEF,Timestamp Functions not supported,,
"SELECT strftime('%Y', DATE '1992-01-01');",TIMEF,"function strftime(unknown, date) does not exist
LINE 1: SELECT strftime('%Y', DATE '1992-01-01');
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,1992,postgresql,UFunction,TIMEF,Timestamp Functions not supported,,
"WITH RECURSIVE t(x) AS
(
  SELECT 1
    UNION ALL
  SELECT x + 1
  FROM   (SELECT t.x+1 FROM v AS _(p) FULL OUTER JOIN t ON t.x = p) AS _(x)
  WHERE  x < 10
) SELECT * FROM v AS _(p) RIGHT OUTER JOIN t ON t.x = p ORDER BY p NULLS LAST;",CTEC,"recursive reference to query ""t"" must not appear within an outer join
LINE 6: ...OM   (SELECT t.x+1 FROM v AS _(p) FULL OUTER JOIN t ON t.x =...
                                                             ^
",False,"1	1
3	3
NULL	5
NULL	7
NULL	9",postgresql,Command,CTEC,CTE Constraint,,
"INSERT INTO blobs VALUES ('hello', 3), ('\x00whatisgoingon', 9), (NULL, 0), ('\xFF\xFE\xFB', 19)",BYTEA,"invalid hexadecimal digit: ""w""
LINE 1: INSERT INTO blobs VALUES ('hello', 3), ('\x00whatisgoingon',...
                                                ^
",False,True,postgresql,IType,BYTEA,BYTEA inconsistent,,
"SELECT
  id,
  user_id,
  order_id,
  LEAD(order_id, 1, -1 RESPECT NULLS) over (
    PARTITION BY user_id
    ORDER BY id
  ) AS last_order_id
FROM issue2549",WINDOWF,"syntax error at or near ""RESPECT""
LINE 5:   LEAD(order_id, 1, -1 RESPECT NULLS) over (
                               ^
",False,"0	1	614	NULL
1	1	NULL	NULL
2	1	NULL	639
3	1	639	2027
4	1	2027	-1",postgresql,UFunction,WINDOWF,Window function not supported,,
"SELECT
  id,
  user_id,
  order_id,
  FIRST_VALUE (order_id RESPECT NULLS) over (
    PARTITION BY user_id
    ORDER BY id
    ROWS BETWEEN UNBOUNDED PRECEDING AND 1 PRECEDING
  ) AS last_order_id
FROM issue2549",WINDOWF,"syntax error at or near ""RESPECT""
LINE 5:   FIRST_VALUE (order_id RESPECT NULLS) over (
                                ^
",False,"0	1	614	NULL
1	1	NULL	614
2	1	NULL	614
3	1	639	614
4	1	2027	614",postgresql,UFunction,WINDOWF,Window function not supported,,
UPDATE employee SET id=2 WHERE id=3,REFERENCE,None,True,False,postgresql,Misc,REFERENCE,DuckDB Limitation constraints,,
ALTER TABLE t0 DROP c1,REFERENCE,None,True,False,postgresql,Misc,REFERENCE,DuckDB Limitation constraints,,
"select REPLACE(b, 'Ä', '--') FROM strings",STR,"relation ""strings"" does not exist
LINE 1: select REPLACE(b, 'Ä', '--') FROM strings
                                          ^
",False,"World
NULL
R--cks
NULL",postgresql,Type,STR,String type not exists,,
"INSERT INTO strings VALUES (3, NULL, 30, 'abcde')",STR,"relation ""strings"" does not exist
LINE 1: INSERT INTO strings VALUES (3, NULL, 30, 'abcde')
                    ^
",False,True,postgresql,Type,STR,String type not exists,,
FROM tbl,FROM,"syntax error at or near ""FROM""
LINE 1: FROM tbl
        ^
",False,5	NULL,postgresql,Command,FROM,FROM as single statement,,
SELECT (SELECT 0) c0 WHERE (SELECT c0);,SELECT,"column ""c0"" does not exist
LINE 1: SELECT (SELECT 0) c0 WHERE (SELECT c0);
                                           ^
",False,,postgresql,Misc,SELECT,SELECT column,,
"CREATE TABLE t1(c4 UUID, c0 REAL AS(0))",GENCOL,"syntax error at or near ""AS""
LINE 1: CREATE TABLE t1(c4 UUID, c0 REAL AS(0))
                                         ^
",False,True,postgresql,Misc,GENCOL,GENERATED columnds not supported,,
"INSERT INTO test VALUES (5, DEFAULT)",GENCOL,"relation ""test"" does not exist
LINE 1: INSERT INTO test VALUES (5, DEFAULT)
                    ^
",False,True,postgresql,Misc,GENCOL,GENERATED columnds not supported,,
SELECT INTERVAL '-2yrs 4 d 5 hrs 1 mins 3 seconds 20 mseconds 16 useconds'::VARCHAR;,INTERVAL,Result MisMatch,-2 years +4 days 05:01:03.020016,-2 years 4 days 05:01:03.020016,postgresql,IType,INTERVAL,INTERVAL time varchar not same,,
"SELECT AGE(TIMESTAMP '2001-04-10', t2) FROM timestamp;",INTERVAL,Result MisMatch,"NULL
NULL
-4641 days, 0:00:00
-4752 days, 0:00:00
-6631 days, 0:00:00
-6631 days, 0:00:00
15992 days, 0:00:00","43 years 9 months 27 days
-13 years -7 days
-12 years -8 months -21 days
-18 years -2 months -1 days
-18 years -2 months -1 days
NULL
NULL",postgresql,IType,INTERVAL,INTERVAL time varchar not same,,
ALTER TABLE test ALTER i SET DATA TYPE VARCHAR,REINDEX,None,True,False,postgresql,Misc,REINDEX,Postgresql updata column would drop and rebuild index,,
"SELECT c0 FROM (SELECT 1, 1 UNION ALL SELECT 1, 2) t0(c0, c1) GROUP BY ALL HAVING c1>0 ORDER BY c0",BYALL,"syntax error at or near ""HAVING""
LINE 1: ... 1 UNION ALL SELECT 1, 2) t0(c0, c1) GROUP BY ALL HAVING c1>...
                                                             ^
",False,"1
1",postgresql,Misc,BYALL,GROUP BY /ORDER BY ALL not supported ,,
"SELECT sum(distinct value), GROUPING_ID(course), course, COUNT(*) FROM students GROUP BY course ORDER BY all;",BYALL,"syntax error at or near ""all""
LINE 1: ...course, COUNT(*) FROM students GROUP BY course ORDER BY all;
                                                                   ^
",False,"12	0	Math	3
56	0	CS	5",postgresql,Misc,BYALL,GROUP BY /ORDER BY ALL not supported ,,
"create or replace table tbl ( 	a integer, 	b integer, 	c integer, 	primary key (a, b) )",REPLACE,"syntax error at or near ""table""
LINE 1: create or replace table tbl (  a integer,  b integer,  c int...
                          ^
",False,True,postgresql,Command,REPLACE,No CREATE OR REPLACE,,
"SELECT IFNULL(NULL, 'not NULL'), IFNULL('NULL', 'not NULL')",UTILF,"function ifnull(unknown, unknown) does not exist
LINE 1: SELECT IFNULL(NULL, 'not NULL'), IFNULL('NULL', 'not NULL')
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,not NULL	NULL,postgresql,UFunction,UTILF,Utility functions,,
